    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51043,"Clarke, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51047,"Culpeper, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51061,"Fauquier, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51107,"Loudoun, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51157,"Rappahannock, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51179,"Stafford, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51187,"Warren, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51510,"Alexandria (Independent City), VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51919,"Fairfax, Fairfax City + Falls Church, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51942,"Prince William, Manassas + Manassas Park, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",51951,"Spotsylvania + Fredericksburg, VA "
    47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Division)",54037,"Jefferson, WV "
    48424,"West Palm Beach-Boca Raton-Delray Beach, FL (Metropolitan Division)",12099,"Palm Beach, FL "
    48864,"Wilmington, DE-MD-NJ (Metropolitan Division)",10003,"New Castle, DE "
    48864,"Wilmington, DE-MD-NJ (Metropolitan Division)",24015,"Cecil, MD "
    48864,"Wilmington, DE-MD-NJ (Metropolitan Division)",34033,"Salem, NJ "
    
"Source: U.S. Department of Commerce, Bureau of Economic Analysis, Regional Income Division"
"Last updated: November 21, 2013, Office of Management and Budget (OMB), February 28, 2013 delineations"
